Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
W metodyce Agile w zarządzaniu projektami najwyższym priorytetem jest:,częste dostarczanie działających przyrostów produktu,centralizacja uprawnień decyzyjnych,maksymalna dokumentacja,sztywne trzymanie się kontraktu
"Budowa szkoły: najpierw fundamenty, potem ściany, na końcu dach; zmiana fundamentów przy gotowym dachu oznaczałaby burzenie całości. To przykład metodyki:",kaskadowej (waterfall),zwinnej (Agile),Scrum,XP
Metodyka PCM (Project Cycle Management) obejmuje pięć etapów w kolejności:,"programowanie, identyfikacja, formułowanie, wdrażanie, ewaluacja i audyt","identyfikacja, programowanie, formułowanie, wdrażanie, ewaluacja i audyt","programowanie, identyfikacja, wdrażanie, formułowanie, ewaluacja i audyt","definiowanie, przygotowanie, wykonawstwo, kontrola, zakończenie"
"Metodyka zarządzania projektami, która kładzie nacisk na jasny podział ról oraz ścisłe dokumentowanie i kontrolę każdego kroku, to:",PRINCE2,Scrum,XP,EVO
"W odróżnieniu od PRINCE2, skupiającej się na perspektywie klienta i jakości projektu, PMBoK koncentruje się przede wszystkim na:","celach biznesowych organizacji realizującej projekt, ustalanych przez kierownictwo",pracy w krótkich sprintach i codziennych spotkaniach zespołu,ścisłym dokumentowaniu i kontroli każdego etapu projektu,"podziale ról między sponsora, kierownika i wykonawców"
"Zespół pracuje nad oprogramowaniem przez tydzień, następnie ocenia efekty i planuje kolejny tydzień; plan zmienia się wraz z wymaganiami klienta. To przykład metodyki:",zwinnej (Agile),kaskadowej (waterfall),PRINCE2,PCM
Trzy role w Scrumie to:,"Product Owner, Scrum Master i zespół deweloperski","sponsor, kierownik projektu i zespół deweloperski","Product Owner, kierownik projektu i tester","Scrum Master, sponsor i wykonawca"
"Rola w Scrumie odpowiedzialna za to, aby projekt przyniósł zysk, to:",Product Owner (właściciel produktu),Scrum Master,zespół deweloperski,sponsor projektu
Sprinty w Scrumie to krótkie cykle trwające zwykle:,od 2 do 4 tygodni,od 1 do 3 dni,od 2 do 4 miesięcy,od 6 do 12 miesięcy
"Główna lista wszystkich pożądanych cech produktu, z której pochodzi zestaw zadań na dany sprint, to:",Product Backlog,Sprint Backlog,przyrost produktu,codzienny scrum
"Stowarzyszenie, które wydało własny model kompetencji PMCDF (Project Manager Competency Development Framework), to:",Project Management Institute (PMI),International Project Management Association (IPMA),Australian Institute of Project Management (AIPM),Engineering Construction Industry Training Board (ECITB)
Zasada SMART nie odnosi się do:,innowacyjności celów,konkretności celów,mierzalności celów,terminowości celów
Zgodnie z zasadą SMART cele nie powinny być:,jakościowe,mierzalne,osiągalne,konkretne
Zgodnie z zasadą wyznaczania celów SMART cele nie powinny być:,bardzo ambitne,konkretne,mierzalne,określone w czasie
"Kluczowe wskaźniki efektywności (Key Performance Indicators, KPI) służą do pomiaru skuteczności działań organizacji. KPI pomagają określić, czy realizowane działania przynoszą zakładane rezultaty i pomagają firmie osiągnąć wyznaczone cele. Wskaźniki te:","różnią się w zależności od przedsiębiorstwa, branży, wielkości firmy i strategii rozwoju","mają charakter jakościowy, opisowy, nie można zmierzyć stopnia ich realizacji","dobierane są uniwersalnie dla podmiotów z danego kraju, uwzględniają specyfikę rynku krajowego i regionalnego",powinny być wyrażone w pieniądzach
Kto jest autorem metody planowania przedsięwzięć z zastosowaniem harmonogramów?,H.L. Gantt,H. Taylor,K. Ishikawa,G. Hammel
Autorem metody planowania przebiegu projektów nazwanej harmonogramem był:,Karol Adamiecki,Tadeusz Kotarbiński,Gustave Eiffel,Frederick Winslow Taylor
"Chcąc skrócić czas realizacji projektu, kierownik projektu wykorzysta technikę:",CPM,analizę ABC,ankietę,analizę morfologiczną
Techniką służącą do planowania działań zespołowych jest technika:,CPM,biznesplanu,burzy mózgów,socjogramu
Wykresy sieciowe wykorzystuje się między innymi do:,wyznaczania czasu trwania projektu,harmonizacji działań,oceny potencjału strategicznego przedsiębiorstwa,wyznaczania kosztów inwestycji
W harmonogramie projektu zadanie leży na ścieżce krytycznej. Opóźnienie realizacji tego zadania o trzy dni:,opóźni cały projekt,nie wpłynie na termin projektu,skróci projekt,"spowoduje wzrost kosztów, ale nie zmieni terminu"
Która z wymienionych technik nie jest techniką zarządzania projektami?,SWOT,PRINCE2,harmonogram,wykresy sieciowe
"Zgodnie z techniką łańcucha krytycznego (ang. critical chain project management) zapas czasu umieszczany na końcu łańcucha krytycznego, którego zadaniem jest ochrona terminu końcowego przed mogącymi pojawić się opóźnieniami czynności należących do łańcucha krytycznego to:",bufor projektu,bufor zasilający,bufor końcowy,bufor zasobu
"Kierownik projektu posługujący się techniką Earned Value do kontroli przebiegu projektu zauważył, iż za ostatni okres wskaźnik SPI (schedule performance index) wynosi 1,3, zaś CPI (cost performance index) wynosi 0,8. Oznacza to, że projekt jest realizowany:",przed terminem i powyżej kosztów,po terminie i poniżej kosztów,po terminie i powyżej kosztów,przed terminem i poniżej kosztów
"Kierownik projektu analizuje raport, w którym wskaźnik wydajności kosztów CPI wynosi 0,8 a wskaźnik wydajności tempa prac SPI wynosi 1,2. Jaki jest stan projektu?","projekt ma niską efektywność kosztową, ale wyprzedza harmonogram",projekt jest realizowany taniej niż zakładano i szybciej niż w harmonogramie,projekt jest realizowany drożej niż zakładano i wolniej niż w harmonogramie,"projekt oszczędza środki, ale ma opóźnienia"
Który z poniższych wskaźników służy do oceny zgodności wykonania projektu z budżetem?,CPI (Cost Performance Index),SPI (Schedule Performance Index),ROA,EVA (Economic Value Added)
W zarządzaniu projektami najczęściej stosowanym podejściem w obszarze ryzyka jest:,łagodzenie ryzyka,przenoszenie ryzyka,ujawnianie ryzyka,unikanie ryzyka
Wskaż ryzyko zewnętrzne związane z organizacją przeglądu amatorskich teatrów szkolnych:,zmiany przepisów prawnych związanych z organizacją imprezy masowej,brak motywacji członków zespołu projektowego,niewłaściwe zarządzanie budżetem projektu,wystąpienie problemów technicznych w trakcie trwania festiwalu
"Analiza, której celem jest ocena wpływu zmiany kluczowych parametrów projektu na wskaźniki efektywności finansowej i ekonomicznej (z zachowaniem zasady ceteris paribus), to analiza:",wrażliwości,finansowa,opłacalności,wykonalności
"Technika szacowania kosztów projektu polegająca na szacowaniu kosztów poszczególnych zadań, a następnie ich sumowaniu, to technika:",szacowania oddolnego,ekspercka,parametryczna,szacowania odgórnego
Która z cech nie jest cechą wykresu Gantta:,zawiera szczegółowe opisy zadań do wykonania,daje możliwość sprawowania bieżącej kontroli nad realizacją projektu i reagowania w sytuacji opóźnienia,przedstawia kolejność zadań do wykonania,umożliwia śledzenie kamieni milowych projektu
Akronim BOSCARD jest pomocny przy:,definiowaniu ram działania projektu,szacowaniu kosztów projektu,wyznaczaniu ścieżki krytycznej,ocenie postępów prac metodą wartości wypracowanej
W akronimie BOSCARD litera C oznacza:,Constraints (ograniczenia),Costs (koszty),Criteria (kryteria sukcesu),Communication (komunikację)
"Element BOSCARD opisujący to, co oddajemy na koniec projektu, to:",Deliverables (produkty),Objectives (cele),Scope (zakres),Background (tło)
Tablica Kanban dzieli zadania na kolumny:,"To do, In progress, Done","Plan, Do, Check, Act","Backlog, Sprint, Review","Start, Stop, Continue"
W metodzie CPM różnicę między najpóźniejszym a najwcześniejszym terminem zdarzenia nazywa się:,rezerwą czasową,ścieżką krytyczną,buforem projektu,czasem najbardziej prawdopodobnym
"W odróżnieniu od tradycyjnego harmonogramu CPM, metoda łańcucha krytycznego (CCPM):","planuje zadania bez zapasu czasu, a zapasy zbiera w buforach",wlicza zapas czasu w czas trwania każdego zadania,opiera się na trzech szacunkach czasu trwania zadania,pomija ryzyko opóźnień i nie stosuje żadnych zapasów
Bufor zasobu w metodzie łańcucha krytycznego to:,informacja dla członka zespołu o zbliżającej się pracy,zapas czasu chroniący ostateczny termin oddania projektu,zapas czasu chroniący zadanie główne przed opóźnieniem zadań pobocznych,rezerwa budżetowa na nieprzewidziane wydatki
Dla każdego zadania w metodzie PERT szacuje się trzy warianty czasu trwania:,"optymistyczny, pesymistyczny i najbardziej prawdopodobny","planowany, rzeczywisty i skorygowany","najwcześniejszy, najpóźniejszy i rezerwowy","standardowy, przyspieszony i awaryjny"
"Metodę PERT, będącą modelem probabilistycznym, stosuje się przede wszystkim w projektach:","nowatorskich, w których trudno oszacować czas trwania zadań","powtarzalnych, w których czas zadań jest dokładnie znany","wyłącznie budowlanych, o stałych cenach materiałów",o zerowym ryzyku i pełnej pewności co do kosztów
Do podstawowych parametrów projektu (tzw. trójkąta projektu) nie zalicza się:,liczby pracowników,budżetu,czasu,zakresu
Wykresy sieciowe wykorzystuje się między innymi do:,wyznaczania czasu trwania projektu,harmonizacji działań,oceny potencjału strategicznego przedsiębiorstwa,wyznaczania kosztów inwestycji
Techniką służącą do planowania działań zespołowych jest technika:,CPM,biznesplanu,burzy mózgów,socjogramu
"Chcąc skrócić czas realizacji projektu, kierownik projektu wykorzysta technikę:",CPM,analizę ABC,ankietę,analizę morfologiczną
Metoda doskonalenia przedsiębiorstwa polegająca na uczeniu się od najlepszych to:,benchmarking,metoda ścieżki krytycznej,metoda przypadków krytycznych,analiza luki strategicznej
Zaletą benchmarkingu konkurencyjnego nie jest:,łatwy dostęp do informacji,duża akceptacja ze strony pracowników dla wprowadzanych ulepszeń wynikających z benchmarkingu,możliwość określenia swojej pozycji na tle pozycji konkurentów,"porównywalność produktów, procesów"
Pierwszą fazą zarządzania projektami jest faza:,definiowania,planowania,wykonawstwa,ewaluacji
Która z cech nie jest cechą wykresu Gantta:,zawiera szczegółowe opisy zadań do wykonania,daje możliwość sprawowania bieżącej kontroli nad realizacją projektu i reagowania w sytuacji opóźnienia,przedstawia kolejność zadań do wykonania,umożliwia śledzenie kamieni milowych projektu
W zarządzaniu projektami osoba korzystająca z efektów projektu to:,beneficjent,kierownik projektu,sponsor,wykonawca
Pierwszy (najniższy) poziom dojrzałości projektowej w modelu H. Kerznera to poziom:,wspólnego języka,wspólnych procesów,jednej metodyki,benchmarkingu
"Organizacja, która dostrzega potrzebę zdefiniowania i udoskonalania wspólnych procesów, aby powtórzyć sukces jednego projektu w kolejnych, znajduje się w modelu Kerznera na poziomie:",wspólnych procesów,wspólnego języka,jednej metodyki,ciągłego doskonalenia
Na poziomie jednej metodyki w modelu Kerznera organizacja:,"łączy procesy zarządzania projektami w jedną metodykę, uzyskując efekt synergii",porównuje swoje procesy zarządzania projektami z procesami innych firm,ciągle ocenia wyniki benchmarkingu i udoskonala własną metodykę,dopiero poznaje podstawową terminologię zarządzania projektami
Najwyższy poziom dojrzałości projektowej w modelu Kerznera to poziom:,ciągłego doskonalenia,benchmarkingu,jednej metodyki,innowacji
"Poprawna kolejność poziomów dojrzałości projektowej Kerznera, od najniższego do najwyższego, to:",język → procesy → metodyka → benchmarking → doskonalenie,język → procesy → benchmarking → metodyka → doskonalenie,procesy → język → metodyka → benchmarking → doskonalenie,język → metodyka → procesy → benchmarking → doskonalenie
"Poziomy: wspólny język, wspólne procesy, jedna metodyka należą do:",modelu K-PM3 H. Kerznera,modelu BPMM,modelu zmiany organizacyjnej K. Lewina,cyklu zarządzania projektem
Projekt to:,tymczasowe przedsięwzięcie mające wytworzyć unikatowy wyrób lub usługę,powtarzalny ciąg czynności przekształcających nakłady w wyniki,stała jednostka organizacyjna realizująca bieżące zadania firmy,"przedsięwzięcie prowadzone w sposób ciągły, bez określonego końca"
Proces w organizacji to:,"powtarzalny ciąg powiązanych działań, w którym nakłady zamieniane są w wyniki",jednorazowe przedsięwzięcie o unikatowym rezultacie,"działanie improwizowane, podejmowane bez wcześniejszego planu",tymczasowy zespół powołany do realizacji jednego zadania
Dużą powtarzalność i dużą złożoność działań cechują:,procesy (funkcje),projekty,działania rutynowe,działania improwizowane
Cechą projektu nie jest:,powtarzalność realizowanych działań,unikalność przedsięwzięcia,celowość (wymierny cel),określony początek i koniec
Projektem jest:,organizacja koncertu charytatywnego w szkole,comiesięczne księgowanie faktur w firmie,codzienna obsługa klientów w sklepie,cykliczne naliczanie wynagrodzeń pracowników
Jako źródło inicjatywy projektu strategia przedsiębiorstwa należy do źródeł:,systematycznych,spontanicznych,sytuacyjnych,zewnętrznych
Do spontanicznych źródeł inicjatyw projektów zalicza się:,benchmarking,biznesplan,program naprawczy,nową regulację prawną
"Źródłem inicjatywy projektu, które nie należy do systematycznych, jest:",nowa idea,strategia przedsiębiorstwa,biznesplan,program naprawczy
Po wejściu w życie nowych przepisów o ochronie danych osobowych firma uruchomiła projekt dostosowujący jej procedury. Źródło inicjatywy tego projektu jest:,sytuacyjne,systematyczne,spontaniczne,strategiczne
"Projekt odnoszący się do całej organizacji, którego efekty mają charakter długookresowy, to projekt:",strategiczny,taktyczny,operacyjny,twardy
Projekt operacyjny cechuje się:,krótkim horyzontem czasowym i odniesieniem do wybranych jednostek organizacyjnych,średnim horyzontem czasowym i odniesieniem do większych jednostek organizacyjnych,długim horyzontem czasowym i odniesieniem do całej organizacji,krótkim horyzontem czasowym i odniesieniem do całej organizacji
"Wdrożenie nowego systemu CRM we wszystkich działach sprzedaży jednego regionu, rozłożone na kilka kwartałów, to projekt:",taktyczny,operacyjny,strategiczny,średni
"Podział projektów na operacyjne, taktyczne i strategiczne dokonano według kryterium:",znaczenia dla organizacji,wielkości budżetu projektu,"charakteru projektu (twarde, miękkie)","dziedziny działalności (naukowe, komercyjne)"
Skrót PMO rozwija się jako:,Project Management Office,Project Management Institute,Project Management Body of Knowledge,Project Cycle Management
Biuro zarządzania projektami (PMO) to:,jednostka organizacyjna koordynująca zarządzanie projektami w całej organizacji,międzynarodowe stowarzyszenie zrzeszające profesjonalistów zarządzania projektami,zespół powołany do realizacji jednego konkretnego projektu,dokument formalnie otwierający projekt i wyznaczający jego cele
